 ,Numero Gaceta,Fecha Gaceta,Fecha Medida,Tipo de Registro,Funcionario,Cargo,Contenido,Poder,Ente,Organo,Niv.1,Niv.2,Niv.3
,39624,25/02/2011,23/02/2011,Nombramiento / Designación,CONRADO JESUS ROVERO MORA,Viceministro,,Ejecutivo,Ministerio del Poder Popular para la Educación,Viceministerio para la Articulación de la Educación Bolivariana,,,
,39624,25/02/2011,26/11/2010,"Normativas (Reglamentos internos, etc)",,,Se reforma la Comisión Presidencial denominada Comisión Nacional de Demarcación del Hábitat y Tierras de los Pueblos y Comunidades Indígenas,Ejecutivo,Presidencia de la República,,,,
,39624,25/02/2011,25/02/2011,"Normativas (Reglamentos internos, etc)",,,"Se prorroga por un lapso de 90 días la vigencia del decreto Nº 7859 de fecha 30 de noviembre de 2010, publicado en GO Nº 39563, mediante la cual se declara estado de emergencia en los estados Falcón, Miranda y Vargas , así como también en el Distrito Capital, productos de las fuertes lluvias",Ejecutivo,Presidencia de la República,,,,
,39624,25/02/2011,25/02/2011,"Normativas (Reglamentos internos, etc)",,,"Se prorroga por un lapso de 90 días la vigencia del decreto Nº 7876 de fecha 5 de Diciembre de 2010, publicado en GO Nº 39567, mediante la cual se declara estado de emergencia en los estados Zulia, Mérida, Trujillo y Nueva Esparta, producto de las fuertes lluvias",Ejecutivo,Presidencia de la República,,,,
,39624,25/02/2011,25/02/2011,Nombramiento / Designación,LUIS ALFREDO MOTTA DOMINGUEZ,Secretario Ejecutivo de la Comisión Central de Planificación,,Ejecutivo,Presidencia de la República,,,,
,39624,25/02/2011,10/02/2011,"Normativas (Reglamentos internos, etc)",,,Se dictan las normas relativas al establecimiento de los límites máximos de la totalidad de los fondos de fideicometidos con base en el patrimonio de la institución bancaria fiduciaria,Ejecutivo,Ministerio del Poder Popular para la Planificación y Finanzas,Superintendencia de Bancos y Otras Instituciones Financieras (SUDEBAN),,,
,39624,25/02/2011,28/12/2010,Nombramiento / Designación,ESTHER DURAN OROZCO,Miembro Principal,Funge como Vicepresidente de Asuntos Legales,Ejecutivo,Ministerio del Poder Popular para la Planificación y Finanzas,"Banco de Venezuela, S.A. Banco Universal",Comisiones/Comités,,
,39624,25/02/2011,28/12/2010,Nombramiento / Designación,MALLAURY BRANDO MARTINEZ,Miembro Principal,Funge como Vicepresidente de Administración e Inmuebles,Ejecutivo,Ministerio del Poder Popular para la Planificación y Finanzas,"Banco de Venezuela, S.A. Banco Universal",Comisiones/Comités,,
,39624,25/02/2011,28/12/2010,Nombramiento / Designación,MARIA VIRGINIA GUZMAN RODRIGUEZ,Miembro Principal,Funge como Vicepresidente de División de Tecnología,Ejecutivo,Ministerio del Poder Popular para la Planificación y Finanzas,"Banco de Venezuela, S.A. Banco Universal",Comisiones/Comités,,
,39624,25/02/2011,28/12/2010,Nombramiento / Designación,REINALDO FABIAN SOSA ROSSI,Miembro Principal,Funge como Vicepresidente de Inmuebles,Ejecutivo,Ministerio del Poder Popular para la Planificación y Finanzas,"Banco de Venezuela, S.A. Banco Universal",Comisiones/Comités,,
